origin,year,crop_type,yield_tha,frac_renew,frac_remove,till_type
historial,1980,Barley,2.465930755887547,1,0.7,full
historial,1981,Barley,2.4474476879561187,1,0.7,full
historial,1982,Barley,2.7460160413183106,1,0.7,full
historial,1983,Barley,2.591470870903721,1,0.7,full
historial,1984,Barley,3.1124484302480036,1,0.7,full
historial,1985,Barley,2.75809684174337,1,0.7,full
historial,1986,Barley,2.9081882608491822,1,0.7,full
historial,1987,Barley,2.807923184510322,1,0.7,full
historial,1988,Barley,2.582006649372568,1,0.7,full
historial,1989,Barley,2.7184584550952477,1,0.7,full
historial,1990,Barley,2.8998374771452236,1,0.7,full
historial,1991,Barley,3.0476463487052867,1,0.7,full
historial,1992,Barley,3.159157147098811,1,0.7,full
historial,1993,Barley,2.8878680205028835,1,0.7,full
historial,1994,Barley,2.9924755043678015,1,0.7,full
historial,1995,Barley,3.191780875435608,1,0.7,full
historial,1996,Barley,3.401274202622244,1,0.7,full
historial,1997,Barley,3.2067566142113733,1,0.7,full
historial,1998,Barley,2.94264916160085,1,0.7,full
historial,1999,Barley,3.1074936319169884,1,0.7,full
historial,2000,Barley,3.2040843634261065,1,0.7,full
historial,2001,Barley,2.978112156396993,1,0.7,full
historial,2002,Barley,3.098586129299433,1,0.7,full
historial,2003,Barley,3.290654154490475,1,0.7,full
historial,2004,Barley,3.2059772077323374,1,0.7,full
historial,2005,Barley,3.261370739635261,1,0.7,full
historial,2006,Barley,3.3106403634886155,1,0.7,full
historial,2007,Barley,3.1487465034145425,1,0.7,full
historial,2008,Barley,3.314426052101077,1,0.7,full
historial,2009,Barley,3.247786798143489,1,0.7,full
historial,2010,Barley,3.174689604788173,1,0.7,full
historial,2011,Barley,3.1532002547233207,1,0.7,full
historial,2012,Barley,3.0680779328343046,1,0.7,full
historial,2013,Barley,3.254968472128893,1,0.7,full
historial,2014,Barley,3.5625,1,0.7,full
historial,2015,Barley,3.7266207357284618,1,0.7,full
historial,2016,Barley,3.302122564110578,1,0.7,full
historial,2017,Barley,3.3909192308293354,1,0.7,full
historial,2018,Barley,3.184766217124283,1,0.7,full
simulated,2019,Barley,3.4051018159332105,1,0.7,full
simulated,2020,Barley,3.1788341142329206,1,0.7,full
simulated,2021,Barley,3.40591600534183,1,0.7,full
simulated,2022,Barley,3.3856882084241233,1,0.7,full
simulated,2023,Barley,3.574574777662328,1,0.7,full
simulated,2024,Barley,3.4927297001668673,1,0.7,full
simulated,2025,Barley,2.9269981281354687,1,0.7,full
simulated,2026,Barley,3.3453422528996675,1,0.7,full
simulated,2027,Barley,3.2514413507721627,1,0.7,full
simulated,2028,Barley,3.5924534147465423,1,0.7,full
simulated,2029,Barley,3.341036095830739,1,0.7,full
simulated,2030,Barley,3.473444484333165,1,0.7,full
simulated,2031,Barley,3.1746901657399698,1,0.7,full
simulated,2032,Barley,3.2191714306684434,1,0.7,full
simulated,2033,Barley,3.466884578244965,1,0.7,full
simulated,2034,Barley,3.3635512107338723,1,0.7,full
simulated,2035,Barley,3.194257485011875,1,0.7,full
simulated,2036,Barley,3.566691128021595,1,0.7,full
simulated,2037,Barley,3.2001330289417877,1,0.7,full
simulated,2038,Barley,3.2407292677247557,1,0.7,full
simulated,2039,Barley,3.3238089014668395,1,0.7,full
simulated,2040,Barley,3.4427062139132696,1,0.7,full
simulated,2041,Barley,3.4011752438319593,1,0.7,full
simulated,2042,Barley,3.2667177796055586,1,0.7,full
simulated,2043,Barley,3.351098406788617,1,0.7,full
simulated,2044,Barley,3.572374553653554,1,0.7,full
simulated,2045,Barley,3.315827810806012,1,0.7,full
simulated,2046,Barley,3.406393006864412,1,0.7,full
simulated,2047,Barley,3.337372776011969,1,0.7,full
simulated,2048,Barley,3.2865815026680463,1,0.7,full
simulated,2049,Barley,3.5216607545830647,1,0.7,full
simulated,2050,Barley,3.5408351447579682,1,0.7,full
simulated,2051,Barley,3.2840824770929573,1,0.7,full
simulated,2052,Barley,3.4966607521970565,1,0.7,full
simulated,2053,Barley,3.5299216607947854,1,0.7,full
simulated,2054,Barley,3.794205808328925,1,0.7,full
simulated,2055,Barley,3.4499617959340823,1,0.7,full
simulated,2056,Barley,3.51445488807642,1,0.7,full
simulated,2057,Barley,3.6166338664778346,1,0.7,full
simulated,2058,Barley,3.3952479627499033,1,0.7,full
simulated,2059,Barley,3.478093681742149,1,0.7,full
simulated,2060,Barley,3.408198465397397,1,0.7,full
simulated,2061,Barley,2.9216175600146492,1,0.7,full
simulated,2062,Barley,3.4553142427893158,1,0.7,full
simulated,2063,Barley,3.529375459457725,1,0.7,full
simulated,2064,Barley,3.2662501207963284,1,0.7,full
simulated,2065,Barley,3.327564207522154,1,0.7,full
simulated,2066,Barley,3.280056818054133,1,0.7,full
simulated,2067,Barley,3.389422526585555,1,0.7,full
simulated,2068,Barley,3.4977965489462512,1,0.7,full
simulated,2069,Barley,3.4546644050182533,1,0.7,full
simulated,2070,Barley,3.5837823159135227,1,0.7,full
