Domain,Area,Element,Item,Year,Unit,Value
"Crops","United Kingdom","Yield","Barley","1961","hg/ha","32624"
"Crops","United Kingdom","Yield","Barley","1962","hg/ha","36355"
"Crops","United Kingdom","Yield","Barley","1963","hg/ha","35155"
"Crops","United Kingdom","Yield","Barley","1964","hg/ha","36943"
"Crops","United Kingdom","Yield","Barley","1965","hg/ha","37517"
"Crops","United Kingdom","Yield","Barley","1966","hg/ha","35162"
"Crops","United Kingdom","Yield","Barley","1967","hg/ha","37778"
"Crops","United Kingdom","Yield","Barley","1968","hg/ha","34447"
"Crops","United Kingdom","Yield","Barley","1969","hg/ha","35903"
"Crops","United Kingdom","Yield","Barley","1970","hg/ha","33566"
"Crops","United Kingdom","Yield","Barley","1971","hg/ha","37400"
"Crops","United Kingdom","Yield","Barley","1972","hg/ha","40403"
"Crops","United Kingdom","Yield","Barley","1973","hg/ha","39722"
"Crops","United Kingdom","Yield","Barley","1974","hg/ha","41246"
"Crops","United Kingdom","Yield","Barley","1975","hg/ha","36303"
"Crops","United Kingdom","Yield","Barley","1976","hg/ha","35050"
"Crops","United Kingdom","Yield","Barley","1977","hg/ha","43872"
"Crops","United Kingdom","Yield","Barley","1978","hg/ha","41883"
"Crops","United Kingdom","Yield","Barley","1979","hg/ha","41064"
"Crops","United Kingdom","Yield","Barley","1980","hg/ha","44294"
"Crops","United Kingdom","Yield","Barley","1981","hg/ha","43962"
"Crops","United Kingdom","Yield","Barley","1982","hg/ha","49325"
"Crops","United Kingdom","Yield","Barley","1983","hg/ha","46549"
"Crops","United Kingdom","Yield","Barley","1984","hg/ha","55907"
"Crops","United Kingdom","Yield","Barley","1985","hg/ha","49542"
"Crops","United Kingdom","Yield","Barley","1986","hg/ha","52238"
"Crops","United Kingdom","Yield","Barley","1987","hg/ha","50437"
"Crops","United Kingdom","Yield","Barley","1988","hg/ha","46379"
"Crops","United Kingdom","Yield","Barley","1989","hg/ha","48830"
"Crops","United Kingdom","Yield","Barley","1990","hg/ha","52088"
"Crops","United Kingdom","Yield","Barley","1991","hg/ha","54743"
"Crops","United Kingdom","Yield","Barley","1992","hg/ha","56746"
"Crops","United Kingdom","Yield","Barley","1993","hg/ha","51873"
"Crops","United Kingdom","Yield","Barley","1994","hg/ha","53752"
"Crops","United Kingdom","Yield","Barley","1995","hg/ha","57332"
"Crops","United Kingdom","Yield","Barley","1996","hg/ha","61095"
"Crops","United Kingdom","Yield","Barley","1997","hg/ha","57601"
"Crops","United Kingdom","Yield","Barley","1998","hg/ha","52857"
"Crops","United Kingdom","Yield","Barley","1999","hg/ha","55818"
"Crops","United Kingdom","Yield","Barley","2000","hg/ha","57553"
"Crops","United Kingdom","Yield","Barley","2001","hg/ha","53494"
"Crops","United Kingdom","Yield","Barley","2002","hg/ha","55658"
"Crops","United Kingdom","Yield","Barley","2003","hg/ha","59108"
"Crops","United Kingdom","Yield","Barley","2004","hg/ha","57587"
"Crops","United Kingdom","Yield","Barley","2005","hg/ha","58582"
"Crops","United Kingdom","Yield","Barley","2006","hg/ha","59467"
"Crops","United Kingdom","Yield","Barley","2007","hg/ha","56559"
"Crops","United Kingdom","Yield","Barley","2008","hg/ha","59535"
"Crops","United Kingdom","Yield","Barley","2009","hg/ha","58338"
"Crops","United Kingdom","Yield","Barley","2010","hg/ha","57025"
"Crops","United Kingdom","Yield","Barley","2011","hg/ha","56639"
"Crops","United Kingdom","Yield","Barley","2012","hg/ha","55110"
"Crops","United Kingdom","Yield","Barley","2013","hg/ha","58467"
"Crops","United Kingdom","Yield","Barley","2014","hg/ha","63991"
"Crops","United Kingdom","Yield","Barley","2015","hg/ha","66939"
"Crops","United Kingdom","Yield","Barley","2016","hg/ha","59314"
"Crops","United Kingdom","Yield","Barley","2017","hg/ha","60909"
"Crops","United Kingdom","Yield","Barley","2018","hg/ha","57206"
